VAR,RMS,IEMG,MAV,WL,WAMP,TARGET
5.557155193,2.357521825,708.610738,1.417221476,1027.653878,17,1
35.59828201,5.966434221,1858.489499,3.716978998,3056.924587,27,1
38.44205371,6.200173521,1850.629139,3.701258279,3109.80292,33,1
10.08698942,3.176720179,920.1947429,1.840389486,1322.533706,27,1
13.23141471,3.637518509,1092.358577,2.184717155,1760.726161,15,1
12.35134116,3.514461529,985.577325,1.97115465,1556.570444,9,1
83.49691757,9.137759288,3453.609774,6.907219549,5524.026867,38,1
82.48272464,9.082013445,1651.935615,3.30387123,2665.711521,22,1
21.51901571,4.638927158,1481.655397,2.963310793,2365.370988,45,1
195.6258036,13.98669527,4920.971275,9.84194255,8224.061527,31,1
11.66676595,3.415665195,1155.641414,2.311282828,1736.604809,3,1
66.13752605,8.135389181,2466.837328,4.933674656,3856.623691,30,1
84.51136244,9.193011991,3303.409418,6.606818836,5046.156539,14,1
57.03130013,7.551959958,2526.354378,5.052708756,3930.245493,30,1
95.43485408,9.769134385,3511.157936,7.022315873,5425.300324,39,1
63.32320209,7.957588837,2948.680508,5.897361017,4505.002826,29,1
87.17005976,9.336506269,3200.439623,6.400879247,5152.953233,40,1
52.7274074,7.261364421,2402.771908,4.805543817,3746.996614,25,1
48.92949118,6.99496448,2523.731647,5.047463294,3907.352192,19,1
44.43842262,6.666215066,2282.482404,4.564964808,3476.328679,23,1
9.932481633,3.151716268,1081.062037,2.162124074,1689.255667,33,1
16.02434371,4.003067945,1062.794963,2.125589927,1595.237716,31,1
18.92526823,4.350318303,1547.096873,3.094193745,2347.443528,18,1
16.26686332,4.033223519,1452.072783,2.904145566,2202.705136,18,1
37.71490454,6.141301198,2197.181513,4.394363026,3376.407466,34,1
53.25970287,7.297924621,1540.088249,3.080176498,2434.33686,26,1
12.14827943,3.485508048,1020.210822,2.040421644,1559.827897,33,1
34.70055861,5.890744171,2133.321364,4.266642727,3193.806486,28,1
46.20074324,6.797210872,2239.522464,4.479044928,3544.310083,20,1
45.25623232,6.727280695,2333.951278,4.667902556,3677.587697,45,1
20.69852282,4.549588578,1401.788647,2.803577294,2076.371627,29,1
36.43161898,6.035863404,2072.432471,4.144864941,3245.183592,52,1
66.10962762,8.130808465,3064.617571,6.129235141,4757.293188,41,1
42.62464045,6.528782911,2368.100496,4.736200993,3711.113128,31,1
27.24701084,5.219887537,1782.451387,3.564902775,2780.47517,43,1
4.306269677,2.075155528,752.9286298,1.50585726,1063.581782,2,1
39.79634837,6.308468276,1953.810471,3.907620942,3285.863526,43,1
8.192396201,2.8622377,1046.589299,2.093178598,1596.532393,42,1
4.629187126,2.151557007,828.2262666,1.656452533,1233.2941,29,1
40.80905324,6.388197174,2250.827263,4.501654525,3558.045798,31,1
17.01943672,4.125551929,1270.92379,2.541847579,1924.073104,8,1
48.4934422,6.963795391,2389.460333,4.778920666,3654.329175,8,1
74.49386853,8.630983579,3026.580788,6.053161576,4769.387674,27,1
23.17439459,4.813990303,1641.124735,3.282249469,2359.68044,7,1
156.3978843,12.50618089,4274.150132,8.548300263,5970.091009,29,1
103.6607292,10.18139175,3927.500061,7.855000122,6200.743149,33,1
111.5595804,10.56234461,4034.558129,8.069116258,6438.45783,11,1
95.70958434,9.783184173,3552.784323,7.105568645,5731.977128,39,1
161.2493818,12.69840369,4506.21451,9.01242902,6474.344638,14,1
116.3858142,10.78822975,4266.405981,8.532811962,6644.850423,18,1
93.39793915,9.66457599,2494.637383,4.989274766,3453.352556,25,1
69.07368174,8.311108166,2669.672768,5.339345537,4073.744195,38,1
13.94408167,3.734186999,1252.095172,2.504190343,2026.833147,50,1
15.15681714,3.89328191,1379.864512,2.759729024,2057.208348,43,1
40.36365439,6.353260412,2468.868565,4.93773713,3707.531225,30,1
6.978252569,2.64163833,1025.427154,2.050854308,1498.2475,0,1
31.67664517,5.628249244,2011.927741,4.023855482,2991.162914,26,1
30.94567921,5.562890679,2065.594676,4.131189352,3192.37594,42,1
7.429075523,2.725935921,1025.947508,2.051895016,1539.768817,29,1
28.80021941,5.366638377,1760.582798,3.521165597,2456.235207,22,1
136.6743196,11.69115178,3986.617487,7.973234974,6242.848103,9,1
111.320614,10.55085964,3965.528622,7.931057245,5897.442351,43,1
34.96240557,5.913007186,1845.780955,3.69156191,2806.566778,31,1
33.98033008,5.829265424,2149.417355,4.298834711,3266.07022,16,1
61.64399774,7.851377443,2782.710204,5.565420407,4233.076544,29,1
89.21930626,9.445686257,3359.957005,6.719914009,5117.260527,30,1
3.501285405,1.871595715,669.2606025,1.338521205,971.9772179,0,1
5.52784798,2.351843936,785.8879049,1.57177581,1070.530227,30,1
70.96794773,8.42449857,3007.015052,6.014030105,4709.261801,32,1
100.0801949,10.00401417,3504.269893,7.008539786,4629.043745,30,1
78.25136991,8.846253041,3219.576123,6.439152245,4927.31973,31,1
122.7295809,11.07838182,4248.566471,8.497132943,6583.819213,26,1
390.0339832,19.74994641,5768.961422,11.53792284,6650.89461,9,1
37.81683966,6.149548142,1968.300203,3.936600405,2902.911005,28,1
62.81297921,7.925469695,2613.888502,5.227777004,4021.71907,26,1
39.76542849,6.306326631,2329.10593,4.658211861,3531.638656,30,1
33.64779912,5.800943759,2011.731901,4.023463803,3069.369726,32,1
59.35577169,7.704296265,2843.972595,5.687945191,4662.375117,25,1
108.8346134,10.43239329,4043.013366,8.086026732,6521.14228,38,1
70.76306657,8.412082725,2936.60144,5.87320288,4629.440014,38,1
112.1863716,10.59190112,3537.545225,7.075090451,5381.020613,23,1
55.7029641,7.463442176,2730.17191,5.46034382,4282.70167,37,1
81.5925911,9.032866614,3231.108606,6.462217212,5071.125046,48,1
75.30734859,8.678039153,3175.770508,6.351541015,5140.115009,40,1
114.6973965,10.70976609,3833.662112,7.667324223,5360.400831,27,1
132.3831995,11.50580035,3745.605627,7.491211253,5860.242231,42,1
117.6995683,10.84910273,3743.038054,7.486076107,5771.21222,40,1
31.60635916,5.622126023,2219.781485,4.439562971,3385.750364,20,1
25.36616686,5.036671387,1787.519824,3.575039648,2809.245486,26,1
50.28281418,7.09103761,2697.967561,5.395935123,4039.691566,35,1
64.92723344,8.058016037,2884.922155,5.76984431,4392.716546,40,1
68.84742945,8.297444,2815.005384,5.630010768,4491.681774,48,1
26.88745108,5.1853479,1835.100293,3.670200587,2754.446428,29,1
57.22254983,7.564566381,2633.379385,5.266758771,3908.485566,27,1
9.084619522,3.014099826,1148.146069,2.296292138,1758.468321,3,1
