VAR,RMS,IEMG,MAV,WL,WAMP,TARGET
48.65897161,6.976617035,2387.213248,4.774426496,3587.740904,21,1
51.55435566,7.180164542,2618.505024,5.237010047,3900.638491,42,1
44.16814136,6.646933511,2520.122109,5.040244217,3749.089576,33,1
224.1666635,14.97327195,3996.819256,7.993638511,5171.167649,27,1
139.0359781,11.7913546,3930.644,7.861288,5947.800918,39,1
71.0556727,8.429464808,3156.381462,6.312762924,4732.673678,25,1
80.59873129,8.978071301,2340.201786,4.680403572,2950.066055,29,1
237.3327763,15.40574018,4076.373382,8.152746764,5197.036918,23,1
167.7137593,12.95048422,4377.713912,8.755427823,5292.795949,20,1
325.558156,18.04331062,4359.525511,8.719051022,6936.344925,43,1
69.26192927,8.322376325,3074.611428,6.149222857,5004.496998,37,1
104.279702,10.21177962,3989.244043,7.978488087,6534.606598,55,1
56.46226075,7.514138836,2732.345289,5.464690578,4365.536423,36,1
71.76984107,8.471863864,3211.535786,6.423071572,4510.956697,23,1
52.58159322,7.251554322,2645.148015,5.290296031,3974.498955,26,1
56.83367583,7.538854877,2795.684222,5.591368444,4135.323489,34,1
39.68685141,6.299761228,2400.605747,4.801211495,3465.137836,26,1
124.0690285,11.14204533,3099.649726,6.199299453,4548.175765,24,1
202.4430725,14.23524057,3454.385255,6.908770509,4995.687546,30,1
352.6506601,18.78661106,3815.761864,7.631523729,5398.275492,29,1
364.0391535,19.08873691,3575.622378,7.151244757,4939.029688,28,1
265.6386982,16.30695115,3221.207007,6.442414014,4652.82041,30,1
403.1114125,20.08460311,3813.611375,7.62722275,5036.096077,24,1
338.9954952,18.41956807,3903.715983,7.807431967,5902.564215,28,1
339.3744232,18.42233037,5314.236149,10.6284723,7784.528349,34,1
236.9311813,15.40080546,3433.009398,6.866018795,5173.156316,40,1
345.3038196,18.58365951,4074.485894,8.148971787,5734.83932,30,1
368.0862843,19.18820834,4693.922655,9.38784531,6831.171185,33,1
239.7736048,15.48925497,3680.399827,7.360799654,5394.430645,30,1
198.4134877,14.08594687,3836.594382,7.673188765,5898.035031,35,1
343.6940711,18.542816,5046.491148,10.0929823,6986.392618,19,1
166.1315344,12.89050425,3483.864025,6.967728051,4868.821549,30,1
190.4648662,13.80153474,4556.135366,9.112270732,6886.958271,50,1
592.2571662,24.33812527,6799.689635,13.59937927,9847.182076,35,1
56.72965834,7.531921219,2826.333145,5.652666289,4463.255236,41,1
31.79252963,5.63870097,1988.692259,3.977384519,2943.989469,8,1
23.80067113,4.87878782,1812.461524,3.624923049,2704.414797,41,1
19.61408641,4.428917479,1704.019107,3.408038213,2648.637357,21,1
70.81079161,8.414941473,3194.589827,6.389179655,5035.000155,45,1
